state_name,county_name,trump,biden,other,population_2010,persons_under_5_years_percent_2014,persons_under_18_years_percent_2014,age_65_plus,female_persons_percent_2014,living_in_same_house_1_year__over_percent_20092013,foreign_born_persons_percent_20092013,non_english,edu_highschool,edu_batchelors,veterans_20092013,mean_travel_time_to_work_minutes_workers_age_16_20092013,housing_units_2014,homeownership_rate_20092013,housing_units_in_multiunit_structures_percent_20092013,median_value_of_owneroccupied_housing_units_20092013,households_20092013,persons_per_household_20092013,income,median_household_income_20092013,poverty,private_nonfarm_establishments_2013,private_nonfarm_employment__2013,private_nonfarm_employment_percent_change_20122013,nonemployer_establishments_2013,total_number_of_firms_2007,womenowned_firms_percent_2007,manufacturers_shipments_2007_1000,merchant_wholesaler_sales_2007_1000,retail_sales_2007_1000,retail_sales_per_capita_2007,accommodation_and_food_services_sales_2007_1000,building_permits_2014,land_area_in_square_miles_2010,density
Missouri,Webster County,14874,3572,330,36202.0,6.8,27.2,14.6,49.1,84.6,0.8,7.4,84.7,15.0,3036.0,30.7,14480.0,75.9,8.3,116800.0,12668.0,2.8,19955.0,44596.0,18.9,628.0,4910.0,-2.8,2831.0,3810.0,24.0,161470.0,69536.0,294218.0,8197.0,22194.0,42.0,592.56,61.1
Missouri,Worth County,877,215,15,2171.0,5.9,20.4,24.3,50.1,89.3,0.2,0.9,92.9,15.6,221.0,26.5,1271.0,76.3,7.4,57900.0,940.0,2.2,22967.0,39348.0,13.2,51.0,229.0,19.3,211.0,204.0,0.0,0.0,7737.0,13164.0,6359.0,526.0,0.0,266.61,8.1
Missouri,Wright County,7452,1167,118,18815.0,6.3,25.1,19.1,51.1,83.6,2.2,2.5,76.5,11.1,1597.0,26.0,8616.0,72.2,6.7,86700.0,7295.0,2.52,14752.0,28645.0,27.5,404.0,3460.0,-2.3,1276.0,1916.0,0.0,146589.0,31676.0,237875.0,13121.0,38047.0,5.0,681.77,27.6
Montana,Beaverhead County,3923,1608,130,9246.0,4.5,18.0,19.8,48.9,81.0,1.4,2.1,93.1,27.2,979.0,14.0,5254.0,64.1,9.7,173400.0,4110.0,2.11,22872.0,41614.0,15.1,344.0,2295.0,2.7,865.0,1324.0,0.0,0.0,24333.0,122910.0,13877.0,16054.0,3.0,5541.62,1.7
Montana,Big Horn County,2207,2491,86,12865.0,10.3,33.5,11.4,50.8,91.4,1.2,29.9,84.5,15.5,630.0,18.6,4661.0,67.4,8.5,89300.0,3444.0,3.7,15695.0,39966.0,25.5,217.0,2332.0,4.5,499.0,563.0,0.0,0.0,0.0,87369.0,6852.0,13590.0,4.0,4995.46,2.6
Montana,Blaine County,1469,1589,63,6491.0,8.7,30.2,14.2,50.6,90.6,0.8,4.6,87.4,15.9,527.0,14.6,2814.0,65.4,9.5,76200.0,2237.0,2.86,17437.0,37151.0,28.8,147.0,1202.0,-1.1,318.0,322.0,0.0,0.0,27575.0,44240.0,6813.0,2414.0,2.0,4227.55,1.5
Montana,Broadwater County,3173,835,89,5612.0,5.0,20.6,20.9,49.3,85.7,1.2,1.2,89.4,19.4,708.0,25.3,2697.0,80.7,3.0,174000.0,2421.0,2.32,24270.0,45932.0,10.5,137.0,782.0,-1.0,442.0,660.0,0.0,0.0,10326.0,59235.0,12928.0,5749.0,0.0,1192.54,4.7
Montana,Carbon County,4468,2421,212,10078.0,4.2,18.3,22.3,49.8,85.5,1.9,3.9,92.8,27.6,1179.0,27.1,6463.0,76.7,3.8,205900.0,4322.0,2.32,27599.0,47831.0,11.1,412.0,2190.0,1.0,1050.0,1641.0,24.6,0.0,20962.0,60650.0,6219.0,18542.0,9.0,2048.79,4.9
Montana,Carter County,775,74,15,1160.0,5.4,16.7,25.2,50.0,94.6,0.2,2.4,92.8,16.4,75.0,13.0,808.0,80.4,3.6,82400.0,495.0,2.46,24921.0,39659.0,13.7,34.0,152.0,0.0,103.0,0.0,0.0,0.0,0.0,11929.0,9667.0,0.0,1.0,3340.75,0.3
Montana,Cascade County,23314,15456,1114,81327.0,6.7,22.6,16.9,49.6,82.2,2.3,4.2,90.8,24.6,10265.0,15.8,37565.0,65.6,22.1,157900.0,33430.0,2.37,24727.0,44963.0,14.9,2429.0,28891.0,-0.9,4611.0,7266.0,25.1,670881.0,672008.0,1302292.0,15924.0,174295.0,463.0,2698.16,30.1
